film_id;title;release_year;rating;actor_name
827;Spice Sorority;2004;NC-17;Ed Chase
971;Whale Bikini;2004;PG-13;Ed Chase
490;Jumanji Blade;2004;G;Jennifer Davis
714;Random Go;2004;NC-17;Jennifer Davis
30;Anything Savannah;2004;R;Joe Swank
815;Snatchers Montezuma;2004;PG-13;Joe Swank
213;Date Speed;2004;R;Karl Berry
144;Chinatown Gladiator;2004;PG;Uma Wood
847;Stock Glass;2004;PG;Vivien Bergen
795;Siege Madre;2004;R;Cuba Olivier
521;Lies Treatment;2004;NC-17;Helen Voight
44;Attacks Hate;2004;PG-13;Dan Torn
144;Chinatown Gladiator;2004;PG;Dan Torn
484;Jerk Paycheck;2004;NC-17;Dan Torn
917;Tuxedo Mile;2004;R;Dan Torn
144;Chinatown Gladiator;2004;PG;Bob Fawcett
490;Jumanji Blade;2004;G;Bob Fawcett
756;Saddle Antitrust;2004;PG-13;Bob Fawcett
589;Modern Dorado;2004;PG;Lucille Tracy
714;Random Go;2004;NC-17;Lucille Tracy
213;Date Speed;2004;R;Kevin Bloom
795;Siege Madre;2004;R;Rip Crawford
827;Spice Sorority;2004;NC-17;Woody Hoffman
739;Rocky War;2004;PG-13;Sissy Sobieski
815;Snatchers Montezuma;2004;PG-13;Tim Hackman
950;Volume House;2004;PG;Audrey Olivier
971;Whale Bikini;2004;PG-13;Audrey Olivier
589;Modern Dorado;2004;PG;Judy Dean
484;Jerk Paycheck;2004;NC-17;Burt Dukakis
714;Random Go;2004;NC-17;Burt Dukakis
839;Stallion Sundance;2004;PG-13;Val Bolger
827;Spice Sorority;2004;NC-17;Tom Mckellen
839;Stallion Sundance;2004;PG-13;Tom Mckellen
71;Bilko Anonymous;2004;PG-13;Goldie Brody
293;Exorcist Sting;2004;G;Goldie Brody
696;Pride Alamo;2004;NC-17;Goldie Brody
815;Snatchers Montezuma;2004;PG-13;Goldie Brody
521;Lies Treatment;2004;NC-17;Johnny Cage
861;Suit Walls;2004;R;Tom Miranda
827;Spice Sorority;2004;NC-17;Kirk Jovovich
917;Tuxedo Mile;2004;R;Kirk Jovovich
490;Jumanji Blade;2004;G;Nick Stallone
484;Jerk Paycheck;2004;NC-17;Reese Kilmer
714;Random Go;2004;NC-17;Reese Kilmer
484;Jerk Paycheck;2004;NC-17;Julia Barrymore
795;Siege Madre;2004;R;Natalie Hopkins
490;Jumanji Blade;2004;G;Gary Phoenix
847;Stock Glass;2004;PG;Gary Phoenix
714;Random Go;2004;NC-17;Carmen Hunt
490;Jumanji Blade;2004;G;Mena Temple
861;Suit Walls;2004;R;Penelope Pinkett
815;Snatchers Montezuma;2004;PG-13;Fay Kilmer
827;Spice Sorority;2004;NC-17;Fay Kilmer
521;Lies Treatment;2004;NC-17;Dan Harris
795;Siege Madre;2004;R;Dan Harris
144;Chinatown Gladiator;2004;PG;Jude Cruise
213;Date Speed;2004;R;Jude Cruise
714;Random Go;2004;NC-17;Jude Cruise
48;Backlash Undefeated;2004;PG-13;Christian Akroyd
971;Whale Bikini;2004;PG-13;Henry Berry
272;Edge Kissing;2004;NC-17;Jayne Neeson
714;Random Go;2004;NC-17;Angela Hudson
960;Wars Pluto;2004;G;Mary Tandy
144;Chinatown Gladiator;2004;PG;Jessica Bailey
861;Suit Walls;2004;R;Jessica Bailey
213;Date Speed;2004;R;Rip Winslet
839;Stallion Sundance;2004;PG-13;Rip Winslet
971;Whale Bikini;2004;PG-13;Rip Winslet
144;Chinatown Gladiator;2004;PG;Sean Williams
950;Volume House;2004;PG;Gary Penn
44;Attacks Hate;2004;PG-13;Milla Keitel
484;Jerk Paycheck;2004;NC-17;Milla Keitel
916;Turn Star;2004;G;Mae Hoffman
827;Spice Sorority;2004;NC-17;Scarlett Damon
839;Stallion Sundance;2004;PG-13;Woody Jolie
589;Modern Dorado;2004;PG;James Pitt
960;Wars Pluto;2004;G;Minnie Zellweger
48;Backlash Undefeated;2004;PG-13;Spencer Peck
839;Stallion Sundance;2004;PG-13;Kenneth Pesci
48;Backlash Undefeated;2004;PG-13;Christopher Berry
71;Bilko Anonymous;2004;PG-13;Ellen Presley
916;Turn Star;2004;G;Ellen Presley
521;Lies Treatment;2004;NC-17;Kenneth Torn
950;Volume House;2004;PG;Kenneth Torn
490;Jumanji Blade;2004;G;Jim Mostel
714;Random Go;2004;NC-17;Spencer Depp
815;Snatchers Montezuma;2004;PG-13;Spencer Depp
521;Lies Treatment;2004;NC-17;Walter Torn
739;Rocky War;2004;PG-13;Penelope Cronyn
795;Siege Madre;2004;R;Sidney Crowe
44;Attacks Hate;2004;PG-13;Groucho Dunst
696;Pride Alamo;2004;NC-17;Warren Nolte
48;Backlash Undefeated;2004;PG-13;Sylvester Dern
